id,state,created_date,modified_date,deleted_date,nombre,genero,sinopsis,emision,fecha_salida,image,promedio_puntuaciones,categoria,color,cantidad_episodios,link_imdb,promedio_puntuaciones_imdb
37,1,2023-10-08,2024-07-07,2024-07-07,Arifureta Shokugyou de Sekai Saikyou,"1,2,12,15","Seventeen-year-old Hajime Nagumo is your average, everyday otaku. However, his simple life of pulling all-nighters.",0,2019-07-01,portada/2022/01/11/Arifureta_Shokugyou_de_Sekai_Saikyou_MID.jpg,6.6,1,5,26,https://www.imdb.com/title/tt10431290/,7.1
779,1,2023-12-29,2024-07-07,2024-07-07,Arknights,"1,12","In the land of Terra, natural disasters of unknown causes have been occurring irregularly in many areas. Therefore, the majority of the people, in order to escape those natural disasters, came to live in mobile cities developed over the years. The Originium left behind at the sit...",0,2022-10-28,portada/2023/05/10/Arknights_-_Reimei_Zensou_MID.jpg,5.6,1,5,16,https://www.imdb.com/title/tt22443832/,6.1
39,1,2023-10-08,2024-07-07,2024-07-07,Arslan Senki,"1,2,9,12,17,38,43",Arslan must embark on a journey to reclaim his fallen kingdom and fulfill his destiny as ruler of Pars.,0,2015-04-01,portada/2022/01/11/Arslan_Senki_MID.png,6.8,1,6,33,https://www.imdb.com/title/tt5023666/,7.5
40,1,2023-10-08,2024-07-07,2024-07-07,Arte,"9,17,20,32,36","Arte was born into an aristocratic family in Florence during the 16th century Renaissance era. Being female, it was unheard of for one to become an artist. She is willing to cast aside her aristocratic lifestyle to become an artist.",0,2020-04-01,portada/2022/01/11/Arte_MID.jpg,6.5,1,8,12,https://www.imdb.com/title/tt11754514/,6.9
41,1,2023-10-08,2024-07-07,2024-07-07,Assassins Pride,12,Melida's family hires Kufa to tutor her in hopes that she possesses dormant magical abilities. What the young noble doesn't know is that Kufa is secretly a ruthless assassin under orders to eliminate her if she fails to manifest her mana.,0,2019-10-01,portada/2022/01/11/Assassins_Pride_MID.jpg,5.9,1,8,12,https://www.imdb.com/title/tt10973152/,5.7
42,1,2023-10-08,2024-07-07,2024-07-07,Astarotte no Omocha!,"5,8,11,12,32,36","A man and his daughter are pulled into a magical world with a 10-year-old succubus princess that hates men, her S&MA-loving elf lady-in-waiting who is concerned with her hatred for men, a female guard and many more colorful characters.",0,2011-06-12,portada/2022/01/11/Astarotte_no_Omocha_MID.png,4.1,1,8,13,https://www.imdb.com/title/tt6460126/,6.2
43,1,2023-10-08,2024-07-07,2024-07-07,Asu no Yoichi,"5,11,15,22,32,38","When Yoichi moves from the mountains to the city, he'll go from surviving the wilderness to surviving with four fierce females.",0,2009-01-01,portada/2023/10/10/Asu_no_Yoichi.jpg,4.0,1,8,12,https://www.imdb.com/title/tt1352414/,5.9
44,1,2023-10-08,2024-07-07,2024-07-07,Asura Cryin',"1,23,43","A boy whose friend died and became a ghost, starts high school. On his first day, a trunk is sent to him by his brother. From that moment on everyone are after him believing that he holds the mysterious powerful ""Asura Machine"".",0,2009-04-01,portada/2023/10/10/Asura_Cryin.jpg,6.4,1,5,26,https://www.imdb.com/title/tt1409053/,6.1
45,1,2023-10-08,2024-07-07,2024-07-07,Atelier Escha and Logy,12,"Atelier Escha and Logy: Alchemists of the Dusk Sky is a Japanese role-playing video game developed by Gust Co. Ltd. Given the project code ""A15"", it is the 15th game in the official Atelier series and the second installment of the Dusk storyline.",0,2014-04-01,portada/2022/01/11/Atelier_Escha_and_Logy_MID.jpg,5.8,1,8,12,https://www.imdb.com/title/tt3505574/,6.5
46,1,2023-10-08,2024-07-07,2024-07-07,Atom,"1,23,35,36","The story of two friends, Umataro Tenma and Hiroshi Ochanomizu, who are genius graduate students studying robotics. The pair have recently completed a robot called A106 that features their experimental ""Bewusstsein"" AI.",0,2017-04-01,portada/2022/01/11/Atom_MID.jpg,7.4,1,8,12,https://www.imdb.com/title/tt6263302/,6.7
750,1,2023-10-10,2024-07-07,2024-07-07,Avatar The Last Airbender,"1,2,12,32","In a war-torn world of elemental powers, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",0,2005-02-01,portada/2022/01/11/Avatar_la_leyenda_de_Aang_MID.jpg,9.7,1,2,60,https://www.imdb.com/title/tt0417299/,9.3
751,1,2023-10-10,2024-07-07,2024-07-07,Avatar The Legend of Korra,"1,2,5,12",Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,0,2012-04-01,portada/2022/01/11/Avatar_la_leyenda_de_Korra_MID.jpg,9.2,1,6,52,https://www.imdb.com/title/tt1695360/,8.3
49,1,2023-10-08,2024-07-07,2024-07-07,Ayakashi,"2,12,43,45","Ayakashi is a metecious form of life, giving unusual forces to the carrier in an exchange on all his life-breath. Yu Kusaka is a student, losing will to live post mortem friend of childhood.",0,2007-12-01,portada/2022/01/11/Ayakashi_MID.jpg,5.0,1,8,12,https://www.imdb.com/title/tt1174766/,6.0
50,1,2023-10-08,2024-07-07,2024-07-07,Ayakashi ~ Japanese Classic Horror,"12,17,45","The series is made up of three stories: ""Yotsuya Ghost Story"", an adaptation of the classic Japanese ghost story; ""Goddess of the Dark Tower"", and Goblin Cat.",0,2006-01-01,portada/2023/10/10/Ayakashi_Japanese_Classic_Horror.jpg,6.7,1,8,11,https://www.imdb.com/title/tt0856346/,7.3
51,1,2023-10-08,2024-07-07,2024-07-07,B the Beginning,"26,35","In this anime series, scientists hope ""new humans"" will create universal peace, but they're kidnapped by an evil group with very different plans.",0,2018-03-01,portada/2022/01/11/B_the_Beginning_MID.jpg,7.6,1,5,18,https://www.imdb.com/title/tt7944664/,7.1
55,1,2023-10-08,2024-07-07,2024-07-07,BALDR FORCE EXE Resolution,"1,9,23,35","Tohru Soma was a member of a hacker group called ""Steppen Wolf"". They deiced to do just one more attack on FLAK, a big military organization but was discovered and then arrested. Tohru doesn't want to serve a long prison sentence so he decides to join FLAK, so he can find out who...",0,2006-11-01,portada/2022/01/11/BALDR_FORCE_EXE_Resolution_MID.jpg,5.7,1,3,4,https://www.imdb.com/title/tt14675322/,5.4
52,1,2023-10-08,2024-07-07,2024-07-07,Baccano,"2,5,12,32","A crazy fantasy caper involving alchemists, immortals, gangsters, outlaws and an elixir of immortality, spread over several decades.",0,2007-07-26,portada/2023/10/10/Baccano.jpg,6.1,1,5,16,https://www.imdb.com/title/tt1334722/,8.2
53,1,2023-10-08,2024-07-07,2024-07-07,Baki,"1,22,38,41","The protagonist, Baki Hanma, trains with an intense focus to become strong enough to surpass his father, Yujiro Hanma, the strongest fighter in the world.",0,2018-12-01,portada/2022/01/11/Baki_2018_MID.jpg,6.4,1,2,78,https://www.imdb.com/title/tt6357658/,6.8
54,1,2023-10-08,2024-07-07,2024-07-07,Bakuretsu Tenshi,"2,5,23,35,38","In a chaotic future Tokyo, a young aspiring chef is employed by four beautiful mercenaries.",0,2004-05-01,portada/2022/01/11/Bakuretsu_Tenshi_MID.jpg,4.8,1,5,24,https://www.imdb.com/title/tt0409536/,6.5
56,1,2023-10-08,2024-07-07,2024-07-07,Ballroom e Youkoso,"5,9,32,34,38,41","Tatara is an average middle school student with no particular dreams until an unexpected incident draws him into the fascinating world of ballroom dancing. He dives into the world of dance, believing it's his opportunity to change.",0,2017-07-01,portada/2022/01/11/Ballroom_e_Youkoso_MID.png,6.9,1,5,24,https://www.imdb.com/title/tt7161104/,7.8
57,1,2023-10-08,2024-07-07,2024-07-07,Bamboo Blade,"5,8,34","With hopes of redemption, Toraji, an awful Kendo instructor, sets his eyes on Tamaki to be his star pupil.",0,2007-10-01,portada/2022/01/11/Bamboo_Blade_MID.png,5.7,1,5,26,https://www.imdb.com/title/tt1155604/,7.3
58,1,2023-10-08,2024-07-07,2024-07-07,Battle Angel Alita,"1,6,32,35,44","A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is.",0,2019-02-01,portada/2022/01/11/Battle_Angel_Alita_OVAS_MID.jpg,6.7,1,3,2,https://www.imdb.com/title/tt0437086/,7.3
59,1,2023-10-08,2024-07-07,2024-07-07,Battle Programmer Shirase,5,"A young computer hacker who doesn't work for money, steals from big bank corporations sucking every last cent out of them, all while battling the King of America.",0,2003-10-03,portada/2022/01/11/Battle_Programmer_Shirase_MID.jpg,6.2,1,8,15,https://www.imdb.com/title/tt1587391/,6.4
60,1,2023-10-08,2024-07-07,2024-07-07,Beastars,"9,20,30,38","In a world of anthropomorphic animals, a reclusive wolf's complicated relationship with a kindly rabbit is tested by a classmate's murder, a charismatic deer's influence, and his own burgeoning predatory instincts.",0,2019-10-01,portada/2022/01/11/Beastars_MID.jpg,6.9,1,5,24,https://www.imdb.com/title/tt11043632/,7.7
